type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
small_airport,Manila Municipal Airport,35.894402,-90.154602,NA,US,US-AR,Manila,KMXA,MXA,America/Chicago
medium_airport,Maxwell Air Force Base,32.3829,-86.365799,NA,US,US-AL,Montgomery,KMXF,MXF,America/Chicago
small_airport,Monticello Regional Airport,42.220402,-91.1633,NA,US,US-IA,Monticello,KMXO,MXO,America/Chicago
seaplane_base,Moser Bay Seaplane Base,57.0256,-154.145996,NA,US,US-AK,Moser Bay,,KMY,America/Anchorage
small_airport,Montgomery-Gibbs Executive Airport,32.8157,-117.139999,NA,US,US-CA,San Diego,KMYF,MYF,America/Los_Angeles
medium_airport,McCall Municipal Airport,44.888837,-116.101112,NA,US,US-ID,McCall,KMYL,MYL,America/Boise
medium_airport,Myrtle Beach International Airport,33.679699,-78.928299,NA,US,US-SC,Myrtle Beach,KMYR,MYR,America/New_York
medium_airport,Yuba County Airport,39.09780121,-121.5699997,NA,US,US-CA,Marysville,KMYV,MYV,America/Los_Angeles
small_airport,Pinal Airpark,32.5106010437,-111.32800293,NA,US,US-AZ,Marana,KMZJ,MZJ,America/Phoenix
small_airport,Marion Municipal Airport,40.4898986816,-85.6797027588,NA,US,US-IN,Marion,KMZZ,MZZ,America/Indiana/Indianapolis
small_airport,Cortland County Chase Field,42.59260178,-76.21489716,NA,US,US-NY,Cortland,,CTX,America/New_York
small_airport,Sidney Municipal Airport,42.302600860596,-75.416000366211,NA,US,US-NY,Sidney,,SXY,America/New_York
small_airport,Albert S Nader Regional Airport,42.5247,-75.0644,NA,US,US-NY,Oneonta,,ONH,America/New_York
medium_airport,New Orleans NAS JRB/Alvin Callender Field,29.82530022,-90.03500366,NA,US,US-LA,New Orleans,KNBG,NBG,America/Chicago
small_airport,Naval Outlying Field Barin,30.389099121100003,-87.63529968259999,NA,US,US-AL,Foley,KNBJ,NHX,America/Chicago
small_airport,Dahlgren Naval Surface Warfare Center Airport,38.3325,-77.037201,NA,US,US-VA,Dahlgren,KNDY,DGN,America/New_York
medium_airport,Lakehurst Maxfield Field Airport,40.03329849,-74.353302,NA,US,US-NJ,Lakehurst,KNEL,NEL,America/New_York
small_airport,Whitehouse Naval Outlying Field,30.353900909424,-81.87190246582,NA,US,US-FL,Jacksonville,KNEN,NEN,America/New_York
medium_airport,Lakefront Airport,30.042400360107,-90.028297424316,NA,US,US-LA,New Orleans,KNEW,NEW,America/Chicago
